Date,Price,Open,High,Low,Volume,Chg%,Log_Price,Mean_12,First_Diff
2014-01-01,29542,29435,29598,29340,2930,0.25,10.293568258600546,10.559187304598856,0.0
2014-01-02,29975,29678,30050,29678,3140,1.47,10.308118979895715,10.559187304598856,0.014550721295169211
2014-01-03,29727,30031,30125,29539,3050,-0.83,10.29981100272701,10.559187304598856,-0.00830797716870535
2014-01-04,29279,29279,29279,29279,0,-1.51,10.284625814486557,10.559187304598856,-0.015185188240453229
2014-01-06,29119,29300,29395,29051,24380,-0.55,10.279146161061627,10.559187304598856,-0.005479653424929509
2014-01-07,28959,29130,29195,28912,18710,-0.55,10.273636315516725,10.559187304598856,-0.005509845544901637
2014-01-08,28934,28916,29029,28820,18140,-0.09,10.272772653189536,10.559187304598856,-0.000863662327189374
2014-01-09,28997,28990,29053,28865,15130,0.22,10.274947655341608,10.559187304598856,0.00217500215207167
2014-01-10,29169,29030,29198,28960,15810,0.59,10.280861780477768,10.559187304598856,0.0059141251361598535
2014-01-13,29312,29170,29330,29133,13780,0.49,10.285752267473857,10.559187304598856,0.004890486996089294
2014-01-14,29198,29289,29390,29155,10600,-0.39,10.281855492759925,10.559187304598856,-0.0038967747139313502
2014-01-15,29150,29161,29180,29002,13980,-0.16,10.280210191778638,10.284608881109126,-0.0016453009812877895
2014-01-16,29168,29165,29250,29090,12580,0.06,10.280827496918445,10.283547150968952,0.0006173051398068452
2014-01-17,29385,29132,29415,29054,17640,0.74,10.28823961904675,10.28189053756487,0.007412122128306109
2014-01-20,29414,29410,29499,29392,9440,0.1,10.28922603046026,10.281008456542642,0.0009864114135087476
2014-01-21,29362,29392,29411,29256,18210,-0.18,10.287456600299405,10.281244355360379,-0.0017694301608539575
2014-01-22,29269,29354,29426,29234,14900,-0.32,10.284284214428578,10.28167252647429,-0.0031723858708279096
2014-01-23,29394,29230,29468,29116,30840,0.43,10.28854585086663,10.282914987753449,0.004261636438052108
2014-01-24,29574,29399,29696,29345,20390,0.61,10.294650875933433,10.284738172982108,0.006105025066803549
2014-01-27,29905,29682,29929,29682,22120,1.12,10.305780969478658,10.287307615826862,0.01113009354522454
2014-01-28,29628,29871,29871,29586,18130,-0.93,10.29647513913318,10.288608729048148,-0.009305830345477162
2014-01-29,29835,29570,29890,29479,18140,0.7,10.303437479956182,10.290082496755007,0.006962340823001512
2014-01-30,29499,29849,29913,29470,15910,-1.13,10.292111643448266,10.290937175979035,-0.01132583650791652
2014-01-31,29482,29481,29679,29355,15200,-0.06,10.291535186607224,10.291880925548083,-0.0005764568410420168
2014-02-03,29789,29502,29850,29402,11760,1.04,10.301894476832386,10.293636507207578,0.010359290225162354
2014-02-04,29534,29722,29821,29520,3160,-0.86,10.293297421033719,10.294057990706493,-0.008597055798666986
2014-02-05,29719,29515,30100,29515,4490,0.63,10.299541850890105,10.294917642408981,0.006244429856385736
2014-02-06,29231,29273,29448,29211,18560,-1.64,10.28298506894671,10.294545014796256,-0.016556781943394938
2014-02-07,29310,29259,29440,29259,14620,0.27,10.285684033704937,10.29466166640262,0.0026989647582276177
2014-02-10,29471,29349,29549,29349,11910,0.55,10.291162007969065,10.294879679494489,0.005477974264127994
2014-02-11,29670,29500,29700,29500,14740,0.68,10.297891713284868,10.295149749273774,0.0067297053158021924
2014-02-12,29698,29650,29724,29580,10770,0.09,10.298834982456007,10.294570917021888,0.0009432691711399599
2014-02-13,29726,29660,29748,29605,12470,0.09,10.29977736270884,10.294846102319859,0.000942380252832109
2014-02-14,29932,29750,29949,29750,11850,0.69,10.30668342120025,10.295116597423531,0.0069060584914097944
2014-02-17,30664,29978,30731,29970,27800,2.45,10.33084460706039,10.298344344391209,0.024161185860140932
2014-02-18,30766,30600,30790,30511,18180,0.33,10.334165463115696,10.301896867433582,0.003320856055305299
2014-02-19,30712,30686,30865,30405,20720,-0.18,10.332408736680634,10.304439722420936,-0.0017567264350617506
2014-02-20,30608,30680,30680,30507,12460,-0.34,10.329016691680033,10.307416328308127,-0.003392045000600419
2014-02-21,30677,30590,30749,30522,12330,0.23,10.331268467127707,10.310060212994594,0.0022517754476734098
2014-02-24,30927,30633,30975,30633,12900,0.81,10.339384867764494,10.31476019622941,0.008116400636787091
2014-02-25,30972,30929,30999,30817,12760,0.15,10.340838849506614,10.31935643087955,0.0014539817421201917
2014-02-26,30810,30951,30969,30677,14740,-0.52,10.335594591590713,10.323059146181354,-0.005244257915901329
2014-02-27,30839,30884,30917,30788,4410,0.09,10.33653540173002,10.326279453551782,0.0009408101393066914
2014-02-28,30634,30820,30895,30567,16200,-0.66,10.3298657822245,10.32886535353249,-0.006669619505519364
2014-03-03,32051,30700,32279,30700,5670,4.63,10.375083663110118,10.335140878565932,0.045217880885617845
2014-03-04,31126,31500,32379,31090,1310,-2.89,10.345798761764955,10.338400490279655,-0.029284901345162595
2014-03-05,32351,31200,32500,30770,1490,3.94,10.384400211352366,10.342863457303988,0.03860144958741074
2014-03-06,30416,30350,30446,30105,21500,-5.98,10.322724064728211,10.341910007438363,-0.06167614662415488
2014-03-07,30307,30361,30514,30130,19380,-0.36,10.319133987918043,10.340803778374815,-0.003590076810167986
2014-03-10,30327,30253,30350,30145,13500,0.07,10.319793683822168,10.340035194386658,0.0006596959041242911
2014-03-11,30421,30301,30515,30166,23170,0.31,10.32288843838277,10.339336858657914,0.0030947545606032634
2014-03-12,30627,30468,30690,30468,19020,0.68,10.329637251837125,10.338524557330635,0.006748813454354519
2014-03-13,30697,30677,30735,30492,15380,0.23,10.331920208930685,10.33778133728264,0.0022829570935591903
2014-03-14,30719,30730,30849,30610,19040,0.07,10.332636634648445,10.337534840870783,0.0007164257177603162
2014-03-17,30557,30699,30710,30525,5190,-0.53,10.327349070922441,10.336769313303487,-0.005287563726003697
2014-03-18,30389,30511,30511,30311,15940,-0.55,10.3218359798084,10.336100163102143,-0.005513091114041302
2014-03-19,30169,30392,30416,30122,13680,-0.72,10.314570186094999,10.331057373350884,-0.007265793713401081
2014-03-20,29924,30110,30168,29885,14010,-0.81,10.306416112992295,10.327775485953163,-0.008154073102703663
2014-03-21,29850,29893,30038,29817,11960,-0.25,10.303940118820748,10.321070478242193,-0.0024759941715473133
2014-03-24,29182,29810,29810,29141,18000,-2.24,10.281307359823968,10.317619086166841,-0.022632758996779856
2014-03-25,28971,29230,29317,28931,20330,-0.72,10.274050608635028,10.313862137893256,-0.007256751188940314
2014-03-26,28595,29020,29043,28335,16650,-1.3,10.260987156349417,10.308961593937193,-0.013063452285610566
2014-03-27,28521,28631,28740,28351,17230,-0.26,10.25839593702714,10.303587218824225,-0.0025912193222765723
2014-03-28,28434,28488,28630,28213,18090,-0.31,10.255340891195644,10.297395855437435,-0.003055045831496628
2014-03-31,28470,28427,28778,28340,12650,0.13,10.256606180272083,10.291119686382551,0.001265289076439302
2014-04-01,28116,28432,28507,28058,8840,-1.24,10.244094088295796,10.283741140853163,-0.01251209197628711
2014-04-02,28404,28035,28470,27361,480,1.02,10.254285259301984,10.277652489884792,0.010191171006187716
2014-04-03,28460,28500,28699,28365,110,0.2,10.256254871643844,10.272187397537746,0.001969612341859772
2014-04-04,28519,28400,28885,28400,190,0.21,10.258325810799903,10.267500366263155,0.0020709391560593815
2014-04-05,28549,28549,28549,28549,0,0.11,10.25937718820102,10.263580455863881,0.0010513774011169374
2014-04-07,28574,28599,28643,28481,10450,0.09,10.260252492425103,10.259939820330912,0.0008753042240829956
2014-04-08,28754,28639,28842,28639,5740,0.63,10.266532166982538,10.25870855426079,0.006279674557434944
2014-04-09,28710,28754,28856,28653,12120,-0.15,10.26500077311511,10.257954401300799,-0.0015313938674275107
2014-04-10,29094,28757,29119,28757,13700,1.34,10.278287246333408,10.259396075466132,0.013286473218297346
2014-04-11,29085,29090,29162,28973,10530,-0.03,10.277977856344862,10.261027902075941,-0.00030938998854601607
2014-04-14,29350,29095,29371,29095,6090,0.91,10.287047825256243,10.26367014658099,0.009069968911381565
2014-04-15,29342,29287,29395,29059,21410,-0.03,10.28677521569959,10.266184232866616,-0.0002726095566529807
2014-04-16,29290,29280,29320,28900,16580,-0.18,10.285001439821778,10.269593178827115,-0.0017737758778118007
2014-04-17,29293,29256,29386,29185,10460,0.01,10.285103858612302,10.272161395436308,0.00010241879052408365
2014-04-19,29339,29339,29339,29339,0,0.16,10.28667296795321,10.274696236795423,0.001569109340907815
2014-04-21,29548,29207,29599,29072,13860,0.71,10.293771338648629,10.277650030782816,0.00709837069541841
2014-04-22,29423,29550,29649,29381,11700,-0.42,10.289531960404688,10.280162928466455,-0.004239378243941161
2014-04-23,29752,29480,29775,29433,9860,1.12,10.300651635604906,10.283529523731438,0.011119675200218282
2014-04-25,29741,29750,29939,29650,10180,-0.04,10.300281844196661,10.286341996832617,-0.0003697914082447795
2014-04-27,29695,29695,29695,29695,0,-0.15,10.29873396044996,10.289153095777186,-0.0015478837467011175
2014-04-28,29824,29895,29900,29756,6680,0.43,10.303068717485317,10.29121821837318,0.0043347570353571285
2014-04-29,29713,29786,29799,29607,6760,-0.37,10.299339939461232,10.29299839196621,-0.003728778024084889
2014-04-30,31014,29602,31495,29571,12250,4.38,10.342193994424095,10.29759390606353,0.042854054962862875
2014-05-01,30380,31033,31743,29914,2850,-2.04,10.321539776149764,10.300490952767712,-0.02065421827433056
2014-05-02,30182,30388,30440,30080,930,-0.65,10.315000999178496,10.302990916047438,-0.0065387769712685895
2014-05-05,29967,30211,30347,29834,1040,-0.71,10.307852055200259,10.304886599096434,-0.007148943978236844
2014-05-06,29109,29187,29231,29081,9330,-2.86,10.278802683693408,10.304230742074784,-0.02904937150685072
2014-05-07,28747,29164,29275,28725,15480,-1.24,10.266288692954797,10.301940521600299,-0.012513990738611369
2014-05-08,28734,28787,28846,28665,9560,-0.05,10.265836369570664,10.299965889030796,-0.0004523233841329244
2014-05-09,28741,28677,28877,28673,10090,0.02,10.266079953738897,10.297084915541962,0.00024358416823311302
2014-05-12,28860,28732,29025,28575,14220,0.41,10.270211832327862,10.294579081219561,0.004131878588964355
2014-05-13,28673,28787,28874,28633,12740,-0.65,10.263711192398603,10.291660517215282,-0.006500639929258867
2014-05-14,28911,28769,28960,28769,7410,0.83,10.271977424519397,10.289069576134791,0.00826623212079447
2014-05-15,28624,28882,28882,28575,14660,-0.99,10.262000805748501,10.28595798165873,-0.00997661877089584
2014-05-16,28322,28575,28575,28251,11490,-1.06,10.251394166783005,10.278391329355303,-0.010606638965496629
